customer_id,age,income,debt,credit_limit,credit_used,employment_years,employment_type,target
CUST_00000,58,34592,32098,19628,4572,1,Self-Employed,0
CUST_00001,61,117080,110604,7082,244,34,Salaried,0
CUST_00002,32,86237,52124,47590,45962,9,Salaried,0
CUST_00003,32,78878,1703,15463,11438,9,Salaried,0
CUST_00004,35,40379,44118,11698,1519,6,Self-Employed,0
CUST_00005,40,131082,22780,35108,8180,11,Salaried,0
CUST_00006,42,30328,41198,45535,23700,17,Salaried,0
CUST_00007,63,29116,50663,23965,2614,2,Salaried,0
CUST_00008,73,33238,47819,15659,6065,24,Salaried,0
CUST_00009,60,54993,83227,16215,8751,41,Salaried,0
CUST_00010,28,80589,146001,19392,10626,6,Salaried,0
CUST_00011,67,27331,52759,25673,13145,14,Self-Employed,1
CUST_00012,31,139686,164981,18934,16358,9,Self-Employed,1
CUST_00013,76,104259,36603,21162,18394,29,Salaried,0
CUST_00014,65,96622,104700,28723,7186,27,Self-Employed,0
CUST_00015,26,86784,12351,12185,2504,7,Salaried,0
CUST_00016,68,109192,100864,30009,19526,27,Salaried,0
CUST_00017,51,52953,89166,12507,11169,0,Unemployed,0
CUST_00018,66,54973,38469,33492,10365,41,Salaried,0
CUST_00019,79,114646,131225,16708,16635,56,Self-Employed,0
CUST_00020,73,101959,133080,44909,13035,19,Self-Employed,0
CUST_00021,66,41174,69514,5037,4906,34,Self-Employed,1
CUST_00022,19,34662,40306,20692,1898,1,Self-Employed,0
CUST_00023,54,144118,254798,9535,8727,5,Salaried,0
CUST_00024,26,106474,43287,22370,17290,7,Self-Employed,0
CUST_00025,45,146400,105461,25428,13074,6,Self-Employed,0
CUST_00026,59,68944,118354,12930,4061,28,Self-Employed,1
CUST_00027,39,22757,38564,19432,235,18,Salaried,1
CUST_00028,58,27716,2058,26654,2321,14,Salaried,0
CUST_00029,35,107684,34684,42423,37762,15,Salaried,0
CUST_00030,68,81993,25409,48187,28249,26,Salaried,0
CUST_00031,44,81213,25799,8972,6596,23,Salaried,0
CUST_00032,69,132941,99724,40146,29400,6,Salaried,0
CUST_00033,29,56509,9880,34041,6416,7,Salaried,0
CUST_00034,52,129579,254016,11112,3872,0,Unemployed,1
CUST_00035,49,83092,15370,15789,6209,13,Self-Employed,0
CUST_00036,42,54760,91303,41422,31894,14,Salaried,1
CUST_00037,36,48534,71066,8994,5138,1,Salaried,1
CUST_00038,55,82493,139231,15317,931,32,Self-Employed,0
CUST_00039,23,131587,35631,49250,15414,1,Salaried,0
CUST_00040,78,136691,20836,45591,5372,36,Salaried,0
CUST_00041,55,94085,68358,18386,10295,33,Salaried,0
CUST_00042,43,37154,59929,25720,24637,21,Salaried,0
CUST_00043,18,80068,19204,40234,13969,0,Unemployed,0
CUST_00044,26,142324,128075,29217,9338,5,Self-Employed,0
CUST_00045,71,91200,171435,39664,512,45,Salaried,0
CUST_00046,53,59240,17601,22332,3782,6,Self-Employed,0
CUST_00047,65,92512,158552,18803,11235,9,Salaried,1
CUST_00048,58,131792,131659,8329,1512,16,Salaried,0
CUST_00049,71,56265,101072,13573,10438,2,Salaried,0
CUST_00050,28,117154,112115,41759,633,7,Salaried,0
CUST_00051,78,135750,18889,29196,19087,44,Self-Employed,0
CUST_00052,45,36704,5229,28449,6883,1,Salaried,0
CUST_00053,60,33473,53264,45675,10128,22,Self-Employed,0
CUST_00054,33,133325,92826,32020,812,5,Self-Employed,0
CUST_00055,77,63540,105150,48903,48172,50,Self-Employed,0
CUST_00056,35,40866,5075,35847,14577,3,Salaried,0
CUST_00057,76,80332,59662,19609,775,22,Salaried,0
CUST_00058,43,63025,101361,23292,11506,8,Self-Employed,0
CUST_00059,43,109065,7235,12559,4279,17,Salaried,0
CUST_00060,79,148915,227836,27654,23872,16,Salaried,0
CUST_00061,45,99457,151149,17457,8346,16,Salaried,1
CUST_00062,45,20221,35287,48950,12912,16,Self-Employed,1
CUST_00063,22,144370,65339,24681,16617,2,Salaried,0
CUST_00064,44,62753,72667,13341,3143,12,Salaried,0
CUST_00065,78,69695,45620,45338,37296,43,Self-Employed,0
CUST_00066,53,129278,79658,23803,6887,0,Unemployed,0
CUST_00067,55,99516,115909,49277,14005,20,Salaried,0
CUST_00068,68,138119,44457,23598,16890,50,Self-Employed,0
CUST_00069,57,63933,98453,20392,10171,5,Self-Employed,1
CUST_00070,30,39313,6057,21046,15569,0,Unemployed,0
CUST_00071,67,29545,41272,42727,12742,29,Salaried,0
CUST_00072,42,84799,1453,11985,6965,12,Salaried,0
CUST_00073,69,145562,26328,41530,16331,44,Salaried,0
CUST_00074,25,79829,139233,41629,39023,2,Self-Employed,1
CUST_00075,66,136840,264649,32966,29223,28,Salaried,0
CUST_00076,65,132917,129624,46789,18173,30,Salaried,0
CUST_00077,51,83517,20311,23725,7683,15,Salaried,0
CUST_00078,38,137050,79078,20155,12551,17,Salaried,0
CUST_00079,63,48043,43369,40560,30534,4,Salaried,0
CUST_00080,31,129168,201797,43278,1280,6,Salaried,0
CUST_00081,66,95456,92211,24569,12779,24,Salaried,0
CUST_00082,79,129540,192579,40791,39534,26,Salaried,0
CUST_00083,49,48760,3804,30484,11014,17,Salaried,0
CUST_00084,69,72994,122523,13364,10195,46,Salaried,1
CUST_00085,76,71645,7104,10501,7022,37,Salaried,0
CUST_00086,47,43819,42906,18871,14899,1,Salaried,0
CUST_00087,66,135296,221021,21532,2683,24,Salaried,0
CUST_00088,65,90702,91740,19694,2248,3,Self-Employed,0
CUST_00089,59,25276,13065,6335,5089,1,Self-Employed,0
CUST_00090,26,82070,57138,35476,16793,1,Salaried,0
CUST_00091,28,99415,188313,12506,2683,9,Self-Employed,0
CUST_00092,24,95849,81777,42735,24596,0,Unemployed,0
CUST_00093,63,45995,82213,20915,3339,4,Salaried,0
CUST_00094,37,131449,21532,27754,17456,19,Self-Employed,0
CUST_00095,41,29038,829,32528,26946,16,Salaried,0
CUST_00096,45,145932,241035,15026,7135,11,Salaried,1
CUST_00097,51,146546,282157,36686,30465,17,Salaried,1
CUST_00098,64,97656,64355,10679,4569,17,Salaried,0
CUST_00099,33,118366,175161,29837,11023,14,Salaried,1
CUST_00100,72,62600,46507,21931,11152,11,Salaried,0
CUST_00101,56,111905,135430,17521,2805,17,Salaried,0
CUST_00102,44,84038,124804,47329,46651,17,Self-Employed,1
CUST_00103,68,22260,26502,20945,10033,5,Salaried,0
CUST_00104,41,82031,111543,41070,21678,17,Salaried,0
CUST_00105,47,55509,15814,17621,10339,9,Salaried,0
CUST_00106,52,144633,253859,23120,19319,11,Salaried,0
